question_id,question_categorie,categorie_model,model A,model B,token A,token B,time A (sec),time B (sec),score A,score B,cost A (€),cost B (€),electricity A (wh),electricity B (wh),co2 A (g),co2 B (g)
1,easy factual,small,llama,gemma,62,47,1,1,5,5,,,"0,17","0,25",0.10,"0,15"
2,easy factual,small,llama,gemma,261,270,1,1,5,5,,,"0,98","0,87","0,61","0,53"
3,easy factual,small,llama,gemma,196,226,3,3,5,5,,,"0,74","0,72","0,45","0,45"
4,easy factual,small,gemma,llama,468,490,5,5,5,5,,,"1,5","1,85","0,93","1,14"
5,easy factual,small,llama,gemma,80,72,0,0,5,5,,,"0,3","0,23","0,19","0,14"
6,easy factual,small,gemma,llama,946,427,19,7,5,5,,,3,"1,61","1,87","0,99"
7,easy factual,small,gemma,llama,92,102,1,1,5,5,,,"0,29","0,38","0,18","0,24"
8,easy factual,small,gemma,llama,549,443,7,6,5,4,,,"1,76","1,67","1,09","1,03"
9,easy factual,small,llama,gemma,55,204,1,3,5,5,,,"0,21","0,65","0,13","0,4"
10,Reasoning & quantitative,small,llama,gemma,185,,3,6,3,2,,,"0,7","0,92","0,43","0,57"
11,Reasoning & quantitative,small,llama,gemma,659,528,12,12,5,1,,,2,"1,69","1,53","1,04"
12,Reasoning & quantitative,small,gemma,llama,401,370,5,7,5,5,,,"1,29","1,39","0,79","0,86"
13,Reasoning & quantitative,small,llama,gemma,247,397,5,8,1,1,,,"0,93","1,27","0,57","0,78"
14,Reasoning & quantitative,small,llama,gemma,251,229,4,4,2,5,,,"0,95","0,73","0,58","0,45"
15,Programming & debugging ,small,llama,gemma,253,342,4,8,5,5,,,"0,95","1,1","0,59","0,68"
16,Programming & debugging ,small,llama,gemma,307,611,5,12,4,5,,,"1,16","1,96",71,"1,21"
17,Programming & debugging ,small,gemma,llama,161,253,6,6,5,5,,,"0,52","0,95","0,32","0,59"
18,Programming & debugging ,small,gemma,llama,946,314,26,8,5,5,,,3,"1,18","1,87","0,73"
19,Programming & debugging ,small,llama,gemma,957,,25,35,4,5,,,4,4,2,3
20,Programming & debugging ,small,llama,gemma,603,967,19,27,3,5,,,2,3,"1,4","1,91"
